haiku,summary
"I'm supposed to be
 going out but laying in
bed sounds like more fun","Staying in bed is preferred over going out.
"
"Congratulations
 Scotland Gay marriage is now
legal for you too","Celebration of Scotland legalizing gay marriage.
"
"I keep forgetting
 I work at the Publix Hot
Spot This place is Lit","A Publix employee finds their workplace exciting.
"
"If i'm distant it's
 because i hate myself not
because i hate you","Distance is self-inflicted, not a reflection of feelings towards you.
"
"Please do not support
 the Melbourne Cup Don't support
horse racing full stop","Opposes horse racing, specifically the Melbourne Cup.
"
"I like my layout
 right now but I want to change
to a Stan layout","Desire to switch from a preferred layout to the ""Stan"" layout.
"
"is it normal to
 be an issue behind on
a new subscription","Worry about unpaid subscription.
"
"this weekend and next
 weekend are going to be
fun i can feel it","Excitement for upcoming weekends.
"
"What's your favorite
 Trump response to the Russia
investigation","Trump's reaction to the Russia investigation.
"
"I hope so sometimes
 it seems like Trump is the cat
with a million lives","Trump's resilience compared to a cat with many lives.
"
"Got a voucher for
 my birthday last month so can
get Smash for half price","A birthday voucher makes a video game half price.
"
"making some steak Feels
 so good to be home and off
for the next few days","Cooking steak at home and enjoying a break.
"
"Was starting to have
 a bad dream last night and woke
like this is bullshit","Waking up from a bad dream and rejecting it.
"
"Certain songs always
 take me back to where I was
and who I was with","A song evokes nostalgia for a past time and relationship.
"
"I'm staying in the
 whole day and I better be
fine by tomorrow","Hoping to recover from illness by tomorrow while staying indoors.
"
"no matter what mood
 i'm in this album always
hits the fucking spot","This album is perfect for any mood.
"
"Drugs always play a
 big role in a lot of these
entertainers life","Drugs are a common problem for entertainers.
"
"Still setting up but
 having this happen whilst you're
driving a fast car","Multitasking setup while driving fast.
"
"My allergies are
 trying to kill me before
I get to meet you","Allergies are acting up before a meeting.
"
"Im coming back to
 the cod scene this week Just need
to sort a few things","Returning to Call of Duty, but needs to handle some real-life tasks first.
"
"Your weakness is the
 perfect place for God to show
up Pastor Ken Hart","God uses our weaknesses.
"
"Getting those small small
 confirmations that you're on
the right track the best","Small validations affirm you're on the right path.
"
"Taking revenge is
 up to no good accept the
fact life is unfair","Revenge is bad; accept life's unfairness.
"
"I'm starting to feel
 panic I think I won't sleep
in the next three days","Anxiety and impending sleeplessness.
"
"Couldn't I step back
 in time Back to the time when
you give me a hug","Longing for a past hug.
"
"What's better than a
 having a migraine when you
have to take finals","Exasperation at having a migraine during final exams.
"
"I'm so tall compared
 to most of the Black Rose here
I stand out so much","A tall individual contrasts with the smaller Black Roses.
"
"I love music It
 says what I feel just takes me
to another place","Music's power to express emotion and transport the listener.
"
"Hi could you follow
 me back so I can send a
direct message please","A request for a follow back to enable direct messaging.
"
"Joyner Lucas has
 not yet disappointed me
All of his songs go","Joyner Lucas's music is consistently good.
"
"I think the flavor
 of water is one of me
favorite flavors","The speaker enjoys the taste of water.
"
"As you vented to
 me I started to have a
bad expectation","Venting led to a negative expectation.
"
"In case you hadn't
 heard tonight remember to
grab yourself a coke","Reminder to get a Coke.
"
"Thinking should i go
 tat the rest of my forearm
up this week or wait","Deciding whether to get a tattoo soon or delay it.
"
"Im not enjoying
 school and im not enjoying
my time out of school","A feeling of discontent both in and out of school.
"
"A scorpion is
 often indignant unless
it is a white one","A scorpion's disposition may depend on its color.
"
"Just experienced
 my first snow day Got to work
and they sent me home","Excitement for a snow day is cut short by being sent home from work.
"
"More health insurance
 companies should be sued for
lack of coverage","Sues health insurers for coverage denial.
"
"This no snacking thing
 is hard Especially when you're
at home super bored","Resisting snacks due to boredom is difficult.
"
"At least report it
 when it is confirmed not with
this kind of clickbait","Call to report facts, not clickbait.
"
"Hey remind your friends
 of how beautiful they are
They need to hear it","Reminding friends of their beauty.
"
"She had hits before
 New Rules though like Be the One
and Hotter Than Hell","Dua Lipa had popular songs before her hit ""New Rules.""
"
"Red Line train skipping
 Downtown Crossing because of
a water main break","A train bypasses a station due to a water main break.
"
"Dershowitz has been
 accused of rape so who gives
a fuck what he says","Dershowitz's rape accusation negates his opinion.
"
"My final wrestling
 banquet is tonight and I
don't know how I feel","A wrestler's last banquet evokes mixed emotions.
"
"perks of having the
 flu having a reason to
stay in bed all day","Finding a silver lining in being sick by enjoying a day of rest.
"
"I still trying to
 understand why jack johnson
ignores me so hard","Yearning for acknowledgment from Jack Johnson.
"
"Awesome I found my
 new fucking talent That I
never knew I had","Discovery of an unexpected talent.
"
"Jermaine Ye are both
 active on twitter dropping
albums What a time","Two musicians, Jermaine and Ye, are simultaneously active on Twitter and releasing albums.
"
"When I get married
 my husband I will do a
lot of traveling","A woman anticipates traveling with her future husband after they marry.
"
"I blame the offense
 because the defense gave them
opportunities","Offense is at fault for a loss due to the defense's failures.
"
"When tomorrow is
 payday which means I can buy
some concert tickets","Anticipation for payday and buying concert tickets.
"
"Long distance is hard
 but so worth it when you're in
love with your best friend","Long-distance relationships are difficult but worthwhile when love and friendship are involved.
"
"Knowing that I have
 a whole month with no school work
is the BEST feeling","The joy of a month-long school break.
"
"hey luke hemmings could
 you please follow me and put
a smile on my face","A plea for a social media follow and a smile from Luke Hemmings.
"
"Making vegan Mac
 cheese for the first time so I
hope it comes out bomb","Hoping for delicious vegan mac and cheese.
"
"Congratulations
 suppose the beers are on you
Mine's a Guinness ta","Celebrating with drinks, specifically Guinness.
"
"Don't judge a woman
 or man by their looks take a
chance to know their mind","Looks can be deceiving; get to know a person's mind.
"
"cumberbatch is one
 of my favorite actors
he is just too good","The author admires Benedict Cumberbatch's acting skills.
"
"Keep them from putting
 points up We get the ball first
coming out the half","A team aims to prevent the opposing team from scoring at the start of the second half.
"
"Shopping during the
 holidays is awful please
give me patience Lord","Holiday shopping is frustrating.
"
"relationship sex
 thought tense light see want felt mind
moon storm walk young lips","A tense, sensual encounter under a stormy moon.
"
"bro edwin called me
 love at the m g before
and i lost my shit","A person receives a call from ""bro edwin"" and recalls a past, intense romantic experience (""love at the m g""), causing them to emotionally lose control.
"
"The Grandmaster of
 Hypocrites and inventor
of the word deceit","A summation of a deceitful and hypocritical person.
"
"Never fails if I'm
 off on a Friday i end
up getting called in","Being called into work on days off.
"
"I never knew the
 meaning of love until you
came into my life","Finding love transformed the speaker's understanding of its meaning.
"
"My bed have never
 felt this good man This weekend
went by so damn fast","The comfort of bed after a fleeting weekend.
"
"that Portland team and
 the rockets and that raptors
team have all improve","Three basketball teams have improved.
"
"Marcus annoys me
 so bad when he have his phone
on do not disturb","Marcus is frustrating the speaker by being unavailable due to his phone being on ""do not disturb.""
"
"I guess im getting
 the boys some socks with my face
on it for Christmas","Gifting socks with the giver's face on them for Christmas.
"
"I have a migraine
 but job interview for job
in Japan time woo","Suffering a migraine during a job interview in Japan.
"
"Will you release a
 full set to buy and use My
wallet is waiting","Someone is eager to purchase a complete set of something and has their wallet ready.
"
"Waking up to the
 smell of breakfast is a great
way to start your day","A pleasant start to the day with the aroma of breakfast.
"
"The lightning sounds like
 gunshots from the heavens I
won't finish this joke","A joke about thunder sounding like gunshots is cut short.
"
"Failure makes your mind
 trick you into believing
things that are not true","Failure can distort perception.
"
"They just arrested
 this bitch and she cursing the
police the fuck out","A woman is being arrested and loudly cursing at the police.
"
"I think the issue
 is going sleep cause when I
wake up its fresh death","Struggling to sleep leads to a feeling of rebirth and facing death each morning.
"
"Liverpool will not
 just be fine Liverpool will
be fucking flying","Liverpool's imminent success.
"
"A water like clear
 fluid runs down my nose when
I bend down This sucks","A runny nose is experienced when bending down.
"
"I fucking knew it
 I knew the patriots would
sign James Harrison","A fan expresses frustration that James Harrison signed with the Patriots.
"
"twitter app had died
 when tried to change my profile
pic is it a sign","App malfunction during profile update, questioning its meaning.
"
"I had to explain
 to my mom what a brick was
she was like oooh lord","A person explains a brick to their mother, who is surprised.
"
"I am supposed to
 be taking a nap but I
am here sipping tea","Resisting a nap for tea.
"
"we're too distracted
 humans will be extinct in
the distant future","Humanity's distraction may lead to future extinction.
"
"It is illegal
 to play checkers in public
La Crosse Wisconsin","Checkers ban in La Crosse.
"
"i'm trying to think
 of a tre cool trajan pun
but it just won't work","A writer struggles to create a pun about Trajan.
"
"No matter what sin
 you have done don't give up on
your five daily prayers","Keep praying no matter your sins.
"
"Makes me embarrassed
 of my fellow Texans But
this won't matter right","Disappointment with fellow Texans.
"
"I SHOULD BE WORKING
 ON MY FUCKING DRAWING WHY
AM I ON TWITTER","Procrastination on social media instead of working on art.
"
"I always check my
 friend's locations when they don't
answer my phone calls","Checking on a friend's location due to unanswered calls.
"
"and Liverpool for
 the Champions league final
what a weekend planned","Excitement for Liverpool in the Champions League final and a great weekend ahead.
"
"She is a honest
 Patriot Something you would
never understand","An honest patriot is beyond the understanding of the reader.
"
"if she loyal know
 how to cook and got a fat
ass she a keeper","A woman is a keeper if she's loyal, can cook, and has a large rear.
"
"Isn't that statement
 reason for impeachment Let's
get rid of his ass","Impeachment is desired.
"
"me eating right out
 of a peanut butter jar
I'm try to lose weight","Resisting diet, indulging in peanut butter.
"
"I hate to repeat
 myself but still find myself
repeating myself","The frustration of unwanted repetition.
"
"Taking a break from
 Twitter for a while don't know
how long a break though","A temporary social media break is being taken.
"
"I'm just trying to
 figure out if I have class
tomorrow or not","Uncertainty about having class tomorrow.
"
"If I secure this
 bag for real I will never
stop loving myself","Securing a desired possession will lead to lasting self-love.
"
"picking out something
 to wear is so hard but i
have such a fun time","Choosing clothes can be difficult, but it's enjoyable.
"
"Travis will be back
 to this haircut saying it
wasn't him cheating","A man denies cheating despite a haircut suggesting otherwise.
"
"Alright I can see
 that I will have to teach you
how to be villains","Teaching someone how to be a villain.
"
"We're going to have
 to stop flogging the dolphins
folks Ted Cruz said so","Ted Cruz opposes dolphin flogging.
"
"why does the human
 in ratatouille remind me
of mark zuckerberg","A comparison of a Ratatouille character to Mark Zuckerberg.
"
"Healthcare is a HUGE
 finesse That's why I'm going
to school for it Lbs","Studying healthcare is challenging but worthwhile.
"
"Girls' generation
 Let's dance Hit the beat and take
it to the fast line","Girls' Generation dancing to a fast-paced song.
"
"Westbrook acts like a
 hoe on the court I'm not a
fan of his at all","A negative opinion of Westbrook's behavior on the court.
"
"This years schedule is
 just so confusing that its
making my head spin","Confusion and frustration with a confusing schedule.
"
"Saved my last chicken
 nugget right before class so
I could make it through","Saving a chicken nugget for a later, more needed time.
"
"coding to me is
 peaceful it can free your mind
but still demanding","Coding is a peaceful yet demanding mental escape.
"
"Gentlemen are rare
 so if you got one share his
friends with us sister","A call to share a good man with female friends.
"
"Your always be my
 favorite model good luck
in your new career","A fond farewell and good luck wish to a favorite model.
"
"Na This illness is
 trying to off me how do
I still feel like death","Feeling deathly ill and near the end.
"
"This is DISGRACEFUL
 HOW DO REPUBLICANS NOT
HAVE ISSUE WITH THIS","Republicans should be outraged by something.
"
"Other shocking news
 It helps to hit free throws and
hurts to not do that","Succeeding in basketball requires making free throws.
"
"do professors like
 when you backdate your papers
asking for a friend","Inquiring if professors approve of backdating papers.
"
"of course my parents
 are fighting on christmas why
am i not surprised","Disappointment and lack of surprise at parents fighting during Christmas.
"
"Sanchez looking like
 why didn't I just leave this
league all together","Sanchez regrets his decision to stay in the league.
"
"they need to invent
 a wine glass that detours gnats
from landing in wine","A humorous wish for a wine glass design that prevents gnats from falling into wine.
"
"sometimes I forget
 you follow me then I freak
out when I see it","Forgetting one is being followed and then getting startled upon realization.
"
"When you SEE something
 SAY something We must speak for
those who have no voice","Speak up for the voiceless when you witness injustice.
"
"It's imperative
 to examine when such an
argument for no","Examining the need for negation.
"
"my header is my
 favorite color it's the
color of my room","The author's favorite color is the color of their room.
"
"Real question when I
 get married can my mom be
one of my bridesmaid","A person wonders if their mother can be a bridesmaid at their wedding.
"
"i was fixing bugs
 while you were online that's why
server kept closing","A programmer was fixing code while someone else's online activity caused server issues.
"
"The President says
 it all it gave me a good
laugh for the morning","The speaker is amused by something the President said.
"
"Congratulation
 for being the most beloved
person in my life","A heartfelt congratulation to a beloved person.
"
"Coffee is finished
 na to go look for coffee
this morning be dat","The poem is about the need to find more coffee after finishing the first cup.
"
"TIMBER a team that
 is used to decorate the
name of a vessel","A team's name is used to decorate a vessel.
"
"If indeed I am
 too in a beautiful dream
with you please wake me","A plea to remain in a beautiful dream with someone, or be awakened if it's not real.
"
"Westbrook appears much
 more useful on the bench than
he is on the court","Westbrook is more effective as a bench player.
"
"not having your phone
 charged while your girlfriend is not
in town is not smart","A dead phone and absent girlfriend create a bad situation.
"
"The reason we say
 and or is because and or
or would sound stupid","Why we use ""and or"" instead of just ""or"".
"
"Back at ya Hoping
 your Christmas and New Year is
peaceful and joyous","Wishing peace and joy for Christmas and the New Year.
"
"No matter what a
 chick is goin thru nothing will
stop her from begging","A chick's persistent begging nature, regardless of hardship.
"
"Candace is AWESOME
 Would Love to see her debate
Juan HE HAS NO CLUE","Candace is great, Juan is not.
"
"They keep taking it
 down not for the music but
your dance moves my guy","The haiku humorously suggests someone's dance moves are the reason their music is being taken down, not the music itself.
"
"was thinking the same
 thing But that just shows how good
their coaching staff is","Good coaching leads to shared understanding.
"
"I'm leaning towards
 beef tomorrow question is
patties or stir fry","Deciding how to prepare beef for tomorrow's meal.
"
"Before you give a
 reason make sure it doesn't
sound like an excuse","Avoid making excuses when giving reasons.
"
"Science magic are
 one in the same no one can
tell me otherwise","Science and magic are indistinguishable.
"
"Have i mentioned how
 much i hate standardized tests
how stupid they are","The author expresses their strong dislike for standardized tests, calling them stupid.
"
"Coffee could burn the
 shit out of my mouth and throat
and I'd still love it","A love for coffee despite its burning effect.
"
"Never forget where
 you came from or who helped you
to get where you are","Remember your roots and those who supported you.
"
"failed attempt Jesus
 is my savior and I will
be faithful to him","A declaration of faith in Jesus despite a personal failing.
"
"My website that I
 am paying for does not work
I want a refund","Website down, wants refund.
"
"The worst feeling is
 not knowing whether you have
to wait or give up","The pain of uncertainty in waiting for something.
"
"Fake issue to suck
 up to your racist hateful
phony Christian base","Appealing to a base with racism and false Christianity.
"
"i always hide a
 blunt for myself to find at
the end of the night","Hiding a blunt for future enjoyment.
"
"trying real hard to
 stop my brain and not be the
annoying girlfriend","Suppressing thoughts to avoid being an annoying girlfriend.
"
"remember i kissed
 my cousin in da casket
his forehead was cold","Kissing a deceased cousin.
"
"I hate being in
 the house doing nothing I'm
to active for that","Restlessness and boredom while being stuck indoors.
"
"I hate having a
 desk job sometimes because I
HATE SITTING all day","Desk job woes due to prolonged sitting.
"
"did I miss Disney
 on Ice this year or have they
just not announced it","Wondering if the Disney on Ice show has happened or been announced for the year.
"
"Hiding in the car
 trying to get the courage
up to face the cold","Braving the cold is difficult.
"
"No matter what show
 I start I somehow end up
just restarting glee","Unable to escape the pull of the TV show Glee.
"
"I remember you
 said you drink La Croix one time
so I'm not surprised","Remembering someone's quirky La Croix preference and not being surprised by it.
"
"I hope hearing your
 voice will be one of the first
things of the new year","Anticipation for a longed-for voice at the start of a new year.
"
"how far into the
 show do you come on can i
nap for a bit or","Inquiring about when to join a show and if a nap is possible.
"
"Actually can't
 believe I've finished first year
where has that time gone","A reflection on the speed and disbelief of finishing the first year.
"
"Art of Christopher
 Padgett Hunnicutt graphite
pencil on paper","Graphite pencil art by Christopher Padgett Hunnicutt.
"
"My weekends have been
 so boring senior year is
coming to an end","Senior year nearing, weekends are dull.
"
"Like and subscribe if
 you'd like to see more bears like
this in the future","Plea for audience engagement to support bear conservation.
"
"why is Philippines
 not a part of your tour Do
you guys dislike us","A plea for inclusion, questioning why the Philippines is excluded from a tour.
"
"I need a haircut
 I was supposed to get one
before school started","Needing a haircut before school starts.
"
"Self discipline is
 doing the right thing not what
you feel like doing","Self-discipline means doing what's right, not what feels good.
"
"there's a ladder what
 is it made out of where is
it is it standing","A ladder's composition and location are questioned.
"
"Love the Cover please
 let me know what you think of
the book I'm intrigued","Expressing interest in a book based on its cover and seeking opinions.
"
"Wow I forgot how
 heartbreak feels like I didn't
need this reminder","The author is experiencing the pain of heartbreak again after forgetting what it felt like.
"
"I hate changing my
 class then i have to get used
too a new schedule","Dislike of adjusting to a new class and schedule.
"
"napping together
 is an important part of
a relationship","Napping together strengthens relationships.
"
"So beautiful I
 love that color blue a nice
color going on","Admiration for the color blue.
"
"Remember them ride
 at nights with king Dave make a
way or take a way","Night rides with a leader, forging a path or choosing one.
"
"getting used to tap
 dance and i wonder if i'd
still be good at it","Reflecting on past tap-dancing skills and adjusting to learning it again.
"
"Julie Bishop would
 say that wouldn't she And she'd
have her reasons too","Julie Bishop's predictable statement and her underlying motives.
"
"bumping music in
 the car turns on heads will roll
In honor of grabe","Loud music in a car makes people turn their heads, dedicated to someone named Grabe.
"
"I just became friends
 with some random number that
was texting me memes","A newfound friendship sparked through shared memes with an unknown number.
"
"i don't understand
 why y'all don't like the Milk Man
he's shaped like a friend","An ode to the Milk Man, questioning why others dislike him, highlighting his friendly shape.
"
"Black panther sold out
 right before we got there son
I was mad as fuck","Frustration at missing out on a Black Panther item.
"
"Why do some females
 think head is special treatment
lol its part of sex","A cynical take on oral sex, questioning why some women consider it a special act.
"
"Just because you have
 never heard of one doesn't
mean they don't exist","Unfamiliarity doesn't negate existence.
"
"That moment you pass
 guitar methods but don't know
how to play guitar","Irony of wanting to learn guitar but lacking the skill.
"
"I hate being up
 and having to wait for her
to wake I be bored","Boredom while waiting for someone to wake up.
"
"I liked Jeff Kaplan
 better before he embraced
becoming a meme","The author misses the pre-meme Jeff Kaplan.
"
"there has never been
 such a thing as a book and
there never will be","Books are temporary concepts.
"
"yo these mosquitoes
 out here are on steroids like
why are they so big","Giant mosquitoes are out.
"
"I don't need doctors
 What I need is rest food and
proper exercise","The speaker prioritizes rest, food, and exercise over doctors for their well-being.
"
"Just for the record
 If you shoot up a school you
are a terrorist","School shooters are terrorists.
"
"The moment of joy
 when you see your food coming
at a restaurant","Anticipation and joy awaiting food at a restaurant.
"
"It's hailing out of
 no where I think I'm going
to cry my poor car","A sudden hailstorm makes the speaker worry about their car.
"
"seeing other girls
 being successful and smart
makes my world go round","Admiration and inspiration from other women's success.
"
"I've always tried to
 control things In the end that
is what controls me","Trying to control things leads to being controlled.
"
"My sister always
 tell me keep the ones in your
life who makes effort","Value those who make an effort to be in your life.
"
"i love japanese
 vines especially the one with
the guy and the crabs","The author expresses a fondness for Japanese vines, particularly one featuring a person and crabs.
"
"Reminder No stream
 tonight But know I'm super
thankful for you all","No stream today, but gratitude is expressed.
"
"im never going
 back to the circus is joke
you wouldn't get it","A person refuses to return to the circus because of an inside joke.
"
"With mass shootings there
 is one fact that no one can
dispute they are male","Mass shootings are overwhelmingly committed by males.
"
"you can't change someone
 who doesn't see a problem
in his her actions","People unwilling to acknowledge their flaws are impossible to change.
"
"y'all be creating
 your own problems to be mad
at couldn't be me","People are creating their own problems to be angry about, but the speaker is not.
"
"i wish getting used
 to new running shoes was so
hard and annoying","New running shoes are uncomfortable.
"
"Each my morning is
 wonderful because the day
I will spend with you","Spending the day with a loved one makes the morning wonderful.
"
"I can't get over
 the fact that there's nothing wrong
with Chris Paul hamstring","Frustration over Chris Paul's seemingly healthy hamstring.
"
"Losing weight has been
 great and all but why did I
have to lose my boobs","Losing weight led to unwanted breast reduction.
"
"I was trying to
 take a nap before work but
its not working out","Trying to nap before work, but failing.
"
"This is Bullshit Once
 she knew that she was in a
strip club She can leave","A woman realizes she's in a strip club and can leave.
"
"Well the coach doesn't
 want a shake up within the
team so he should go","The coach should be fired to shake up the stagnant team.
"
"It was Chutney that
 used a dagger to break the
carton of ice cream","Chutney used a dagger to open ice cream.
"
"once introduced as
 night and day by vertical
and horizontal","The haiku uses contrasting imagery (night and day, vertical and horizontal) to introduce itself.
"
"Son I never spent
 this much on my birthday not
like last year at all","A parent reflects on spending more money this year than last year on their child's birthday.
"
"Yea this isn't good
 We need the Wall and Trump needs
to dig his heels in","A negative view on the wall, urging Trump to persist.
"
"The mind can never
 deceive the heart The heart can
always fool the mind","The heart and mind can deceive each other.
"
"the world is supposed
 to end today can't wait to
be disappointed","Anticipation of the world's end leads to expected disappointment.
"
"Reminds me of what
 we did as kids Wrestling was
fun like this was fun","Nostalgic recollection of childhood wrestling fun.
"
"dead serious i
 can tell the type of person
you are from your hair","Judging someone's personality based on their hairstyle.
"
"Not on twitter but
 might be best if doesn't and
let us defend the","Staying off Twitter is better for defense.
"
"Wow I never would
 have thought that he would come back
to coach you called it","A surprising return of a coach.
"
"When Drake said Moment
 I stop havin' fun with it
I'll be done with it","The speaker loses interest or motivation after hearing Drake's catchphrase, signaling their departure from the activity.
"
"So spoke the mountains
 In this setting virtue skips
Nothing always serves","Mountains speak of virtue's absence and the futility of permanence.
"
"No better feeling
 in the world than finding out
your dress has pockets","A dress with pockets brings unexpected joy.
"
"How will this affect
 the Trump Russia collusion
investigation","Impact of Trump-Russia probe.
"
"I wonder how my
 parents would react if i
got a tattoo hmm","Contemplating parental reaction to getting a tattoo.
"
"Contemplating on
 whether or jot I should make
myself a grilled cheese","A moment of pondering the simple pleasure of a grilled cheese sandwich.
"
"Worst feeling When you
 get an itch on the arch of
your foot in public","An inconvenient public itch.
"
"That new Jurassic
 World trailer shouldn't have been
as good as it was","A surprisingly good ""Jurassic World"" trailer.
"
"tonight is one of
 those nights where i just showed and
hopped straight into bed","A simple, relatable moment of immediate bedtime after arriving home.
"
"Nothing hurts my heart
 more than seeing my dog's age
catching up to her","A dog owner is saddened by their dog aging.
"
"I hope this morning
 was just schtick for the show If
not embarrassing","Hoping a potentially embarrassing morning was just for show.
"
"im blocking you could
 have cant have been let go to
talk shit on discord","A person is blocking someone for talking negatively about them on Discord.
"
"If you're attached to
 a surface it will let go
of it and drops down","Detachment and falling.
"
"Rumors of a ghost
 Up the shadowed mountain path
I test my courage","Facing fear while hiking a haunted mountain path.
"
"She trusted her gut
 and called police We should all
be thankful she did","A woman's intuition led her to call the police, a decision for which we should be grateful.
"
"IT MADE ME LEGIT
 panic i just came back and
i was like WHAT where","Confusion and panic upon returning to an altered place.
"
"Sometimes I forget
 how nice it is just to chill
on a friday night","Enjoying a relaxing Friday evening.
"
"I'm so sarcastic
 and it sucks most people can't
catch it through text lol","Sarcasm lost in text.
"
"When the cowboys are
 playing like shit and you have
to work on New Years","A miserable New Year's work shift while the cowboys perform poorly.
"
"Darkness rules my mind
 She holds me so close and warm
I FUCKING LOVE MEMES","A descent into darkness is contrasted with warmth and love, followed by an abrupt and jarring declaration of love for memes.
"
"Accept what is let
 go of what was and have faith
in what is to come","Acceptance of the present, release of the past, and hope for the future.
"
"MARGOT ROBBIE IS
 A LITERAL ANGEL THAT
DRESS IS FANTASTIC","Margot Robbie looks angelic in a fantastic dress.
"
"How can you explain
 something that you can't even
understand your self","Inability to comprehend oneself prevents explaining something else.
"
"Fuck Durant Dude is
 a snake and a half not my
favorite player","Expresses strong dislike for Kevin Durant.
"
"Humph Perhaps I could
 help persuade you to go back
to white men like me","A plea, possibly laced with condescension, for someone to return to relationships with white men.
"
"It's Thanksgiving why
 has the Monster Mash been stuck
in my head all day","A Thanksgiving-themed haiku where the speaker is inexplicably stuck with the ""Monster Mash"" song in their head.
"
"Home colors White black
 and red alternate colors
are black white and red","A simple color pattern of white, black, and red is presented.
"
"I've never seen snakes
 on a plane and I don't think
I want to watch it","The author hasn't seen the movie ""Snakes on a Plane"" and is hesitant to watch it.
"
"The lessons of the
 past will give you wisdom and
strength moving forward","Learning from the past empowers the future.
"
"My daughter just asked
 me a question that started
with Back in the day","A child's question makes the speaker feel old.
"
"I'm starting to think
 Keith isn't a cat person
or a dog person","Keith doesn't seem to like cats or dogs.
"
"Such a debate on
 whether I want to change my
hair color or not","Indecision about changing hair color.
"
"COFFEE SOLVES ALL THE
 PROBLEMS except my coffee
addiction problem","Coffee fixes problems, except the problem of needing coffee.
"
"An honor to be
 part of what you're doing Good
stuff friend Keep it up","Encouragement and appreciation for someone's work.
"
"The females who write
 all these professional bad
reviews can blow one","A negative opinion on female critics writing bad reviews.
"
"dressing in a way
 I had to check my central
heating thermostat","The speaker is dressing warmly because it's cold enough to warrant checking the thermostat.
"
"When given the choice
 to be right or to be kind
Always choose kindness","Kindness is always the better choice.
"
"The most beautiful
 eyes have survived some of the
most painful stories","Beautiful eyes often conceal painful past experiences.
"
"Going to see the
 new Star Wars Will live tweet scenes
and my reactions","Live-tweeting a ""Star Wars"" movie experience.
"
"Texans have got to
 be one of the hottest teams
in football right now","The Texans are a very hot football team.
"
"ghosts are shy because
 they think you might be scared of
them please be their friends","Ghosts are shy and want friendship.
"
"This J Cole starting
 off weak Intro track got this
girl being fake deep","A girl pretends to be deep while listening to a weak J. Cole intro.
"
"I'm sad because I
 shop so much but i shop so
much because I'm sad","Shopping to cope with sadness creates a cycle of sadness.
"
"Wasn't feeling my
 nails at first but I'm starting
to like the color","Changing opinion about a nail color.
"
"make me a figure
 of mccree or i'll be forced
to do it myself","Someone wants a McCree figure made, or they'll make it themselves.
"
"It's so hard trying
 to get myself and Layla
on a good schedule","The difficulty of establishing a routine for oneself and Layla.
"
"I'm trying to clean
 out my phone and it hasn't
worked for me yet lol","Frustrated with phone cleanup.
"
"Sometimes i wish this
 was just a bad dream that i
will soon wake up from","Wishing a current, unpleasant reality was just a nightmare.
"
"OH men are never
 organizing personal
drunks in the bookstore","Men not discreetly drinking in a bookstore.
"
"College made me a
 alcoholic but I'm still
a lightweight so yeah","College drinking leading to a low tolerance.
"
"I'm regretting not
 going to senior prom more
than I thought I would","Regret over missing senior prom.
"
"Tried switching cars with
 my pops since he needs to use
mine he said fuck no","Dad refuses to switch cars.
"
"just loving your show
 this morning Your insight is
an inspiration","Praise for a show's insightful content.
"
"Darkness rules my mind
 She holds me so close and warm
Tears return to soil","Lost in darkness, finding solace in a warm embrace, grief returns to the earth.
"
"Sacrificial love
 So yes it seems odd but in
a way it makes sense","Love's sacrifice, though strange, holds a certain logic.
"
"I love going to
 work just to find out that I
have the weekend off","Unexpectedly free weekend brings joy.
"
"what are you going
 to benefit from bringing
your guitar to school","A student considers the potential benefits of bringing a guitar to school.
"
"Now Playing Looking
 for a Place to Happen by
The Tragically Hip","A song by The Tragically Hip about searching for meaning or a place to belong.
"
"you recall how to
 warn an attractive youthful
being in a church","A memory of advising a young, attractive person in a church setting.
"
"This reminds me of
 the first time I went clubbing
there ne ke le shook","First clubbing experience.
"
"Wake up Twitter School
 Twitter Home Twitter Dinner
Twitter Sleep REPEAT","A life consumed by Twitter.
"
"Afternoon Pat still
 coughing well lol hope your day
is going well X","A person named Pat is coughing, and the author hopes the recipient is having a good day.
"
"Yo porn on twitter
 be way better than the shit
I see on porn sites","Porn on Twitter is better than porn on dedicated sites.
"
"Black Women their poor
 taste in selecting dating
f boys nothing new","A lament about Black women's choices in romantic partners.
"
"must be hard running
 a football club when he is
never here the prick","A frustrated observation about a detached, and perhaps unpleasant, football club manager.
"
"was the contractor
 at Enterprise road paid to
create a site leave","A contractor was paid to clear a site.
"
"Don't fear the unknown
 because the unknown is where
all the good things are","Embrace the unknown, where good things reside.
"
"Didn't think I could
 be more embarrassed by this
man but here we are","Embarrassment at another's actions.
"
"So some boyfriends don't
 know how to be boyfriends Is
that a thing Dammit","Some boyfriends are bad at being boyfriends.
"
"I'm tempted to ask
 this girl when she'll allow me
to unhook her bra","A man contemplates asking a woman to remove her bra.
"
"Having a roommate
 is fun and all but I miss
having my own space","Missing having personal space despite enjoying having a roommate.
"
"Parenthood is such
 a good show like it made me
tear up in the gym","Parenthood's emotional impact, strong enough to make someone cry even during a workout.
"
"Why are the Germans
 so bet into fireworks I
am v scared right now","Germans' intense fireworks use causes fear.
"
"My organs can we
 have some sweet tea Me sweet tea
My organs sweet tea","A longing for sweet tea, possibly related to bodily discomfort.
"
"Make your throw pillows
 look fluffier by giving
them the pillow chop","A technique to make throw pillows look more appealing.
"
